Event_ID,Timestamp,Headline_Short,Description_Long,Affected_Regions,Affected_Sectors,Affected_Assets,News_Corpus_Links,Event_Impact_Score,Event_Uncertainty_Score
11,2021-01-06T19:00:00Z,"Attack on US Capitol Building","Pro-Trump protestors storm the US Capitol building during certification of election results. Highlights deep political divisions.","USA","All","SPY","doc_id_gpe_11_1",4,5
12,2021-03-23T10:00:00Z,"Suez Canal Blockage by Ever Given","Container ship Ever Given runs aground in the Suez Canal, blocking one of the world's busiest trade routes for nearly a week. Disrupts global supply chains.","EGY;Global","Industrials;Energy;Shipping","MAERSK;CL=F;Various Shippers","doc_id_gpe_12_1",3,3
13,2021-08-30T16:00:00Z,"US Withdrawal from Afghanistan Concludes","The last US troops leave Afghanistan, ending a 20-year war. Taliban rapidly takes control of the country.","AFG;USA","Defense","LMT;NOC;RTX","doc_id_gpe_13_1",3,2
14,2022-02-24T03:00:00Z,"Russia Invades Ukraine","Russia launches a full-scale invasion of Ukraine. Triggers major geopolitical crisis, sanctions on Russia, and sharp increases in energy and commodity prices.","RUS;UKR;Europe;Global","Energy;Commodities;Defense;Financials","CL=F;NG=F;WHEAT;XOM;CVX;LMT;Various Banks","doc_id_gpe_14_1;doc_id_gpe_14_2",5,5
15,2022-09-16T10:00:00Z,"UK Mini-Budget Triggers Market Turmoil","UK government announces large unfunded tax cuts, leading to a sharp fall in the British Pound and a surge in UK government bond yields. Bank of England intervention required.","GBR","Financials;FX","GBPUSD=X;^FTSE;UK Gilts","doc_id_gpe_15_1",4,4
16,2022-10-07T12:00:00Z,"US Imposes Sweeping Chip Export Controls on China","Biden administration announces extensive new export controls aimed at hobbling China's ability to develop advanced semiconductors.","USA;CHN","Technology;Semiconductors","NVDA;AMD;INTC;ASML;TSM","doc_id_gpe_16_1",4,3
17,2023-03-10T15:00:00Z,"Silicon Valley Bank (SVB) Collapses","Silicon Valley Bank, a key lender to tech startups, collapses after a bank run, marking the largest US bank failure since 2008. Triggers fears of wider banking crisis.","USA","Financials;Technology","SIVB;JPM;BAC;WFC;KRE","doc_id_gpe_17_1;doc_id_gpe_17_2",5,5
18,2023-03-19T18:00:00Z,"UBS Agrees to Buy Credit Suisse","UBS agrees to an emergency takeover of troubled rival Credit Suisse, brokered by Swiss authorities to prevent a wider financial meltdown.","CHE;Europe;Global","Financials","CS;UBS;European Banks","doc_id_gpe_18_1",4,3
19,2023-10-07T04:00:00Z,"Hamas Attacks Israel, Triggering Major Conflict","Hamas launches a surprise large-scale attack on Israel from Gaza, leading to significant casualties and a declaration of war by Israel. Heightens Middle East tensions.","ISR;PSE;MEA","Energy;Defense","CL=F;IAI.TA;LMT","doc_id_gpe_19_1",5,5
20,2024-01-12T10:00:00Z,"US & UK Launch Airstrikes Against Houthis in Yemen","US and UK conduct joint airstrikes against Houthi targets in Yemen in response to attacks on Red Sea shipping. Concerns over regional escalation and supply chain disruption.","YEM;MEA;Global","Energy;Shipping","CL=F;Various Shippers","doc_id_gpe_20_1",3,4
21,2018-05-08T18:00:00Z,"US Withdraws from Iran Nuclear Deal","President Trump announces US withdrawal from the Joint Comprehensive Plan of Action (JCPOA) with Iran and reimposition of sanctions.","USA;IRN;Global","Energy","CL=F;XOM;CVX","doc_id_gpe_21_1",4,4
22,2019-03-29T15:00:00Z,"Brexit Deadline Extended (First Time)","UK Parliament fails to approve Brexit withdrawal agreement, EU grants short extension to original March 29 deadline.","GBR;Europe","FX;UK Equities","GBPUSD=X;^FTSE","doc_id_gpe_22_1",3,4
23,2019-10-17T10:00:00Z,"UK and EU Announce Revised Brexit Deal","UK PM Boris Johnson and EU leaders announce they have agreed on a revised Brexit withdrawal agreement.","GBR;Europe","FX;UK Equities","GBPUSD=X;^FTSE","doc_id_gpe_23_1",3,3
24,2020-12-24T15:00:00Z,"UK and EU Announce Post-Brexit Trade Deal","UK and EU announce they have reached a trade and cooperation agreement just days before the end of the Brexit transition period.","GBR;Europe","FX;UK Equities","GBPUSD=X;^FTSE","doc_id_gpe_24_1",3,2
25,2022-08-02T15:00:00Z,"Nancy Pelosi Visits Taiwan, Angering China","US House Speaker Nancy Pelosi visits Taiwan despite strong objections and military threats from China. Heightens US-China tensions.","USA;CHN;TWN","Technology;Semiconductors","TSM;AAPL;QCOM","doc_id_gpe_25_1",3,4
26,2023-06-23T20:00:00Z,"Wagner Group Mutiny in Russia","Yevgeny Prigozhin, leader of the Wagner mercenary group, launches a short-lived armed rebellion against Russia's military leadership.","RUS","Global;Defense","RSX (ETF for Russia)","doc_id_gpe_26_1",4,5
27,2020-05-25T00:00:00Z,"George Floyd Killing Sparks Global Protests","The killing of George Floyd by police in Minneapolis sparks widespread protests against racial injustice and police brutality across the US and globally.","USA;Global","Consumer Discretionary;Social Media","Various Retail;FB;TWTR","doc_id_gpe_27_1",3,3
28,2021-07-01T00:00:00Z,"China Celebrates CCP Centenary, Xi Jinping Speech","China holds massive celebrations for the 100th anniversary of the Chinese Communist Party. Xi Jinping delivers a nationalistic speech.","CHN","Global","FXI;MCHI","doc_id_gpe_28_1",2,2
29,2022-11-15T14:00:00Z,"Missile Lands in Poland, Initial Fears of NATO Escalation","A missile strike in Polish territory near the Ukrainian border initially sparks fears of a direct NATO-Russia confrontation before being assessed as likely a stray Ukrainian air defense missile.","POL;UKR;RUS;NATO","Defense;Global","SPY;^VIX","doc_id_gpe_29_1",4,5
30,2023-01-01T00:00:00Z,"Croatia Adopts Euro, Joins Schengen Area","Croatia becomes the 20th member of the Eurozone and joins the Schengen passport-free travel area.","HRV;Europe","FX;European Equities","EURUSD=X;FEZ","doc_id_gpe_30_1",2,1
31,2018-10-02T10:00:00Z,"Jamal Khashoggi Disappearance","Saudi journalist Jamal Khashoggi disappears after entering the Saudi consulate in Istanbul, Turkey. Leads to international condemnation and questions about Saudi leadership.","SAU;TUR;USA","Global;Energy","Saudi Equities;CL=F","doc_id_gpe_31_1",3,3
32,2019-12-12T22:00:00Z,"UK General Election - Conservative Majority","Boris Johnson's Conservative Party wins a large majority in the UK general election, paving the way for Brexit to proceed.","GBR","FX;UK Equities","GBPUSD=X;^FTSE","doc_id_gpe_32_1",4,2
33,2021-09-24T14:00:00Z,"China Declares All Crypto Transactions Illegal","China's central bank declares all cryptocurrency-related transactions illegal, intensifying its crackdown on digital currencies.","CHN;Global","Technology;Financials","BTC-USD;ETH-USD;COIN;MSTR","doc_id_gpe_33_1",3,3
34,2022-05-09T10:00:00Z,"Ferdinand Marcos Jr. Wins Philippines Presidential Election","Ferdinand 'Bongbong' Marcos Jr., son of the late dictator, wins a landslide victory in the Philippine presidential election.","PHL","ASEAN Equities","EPHE","doc_id_gpe_34_1",2,2
35,2023-10-30T15:00:00Z,"US Announces AI Executive Order","President Biden signs a comprehensive executive order on artificial intelligence, aiming to establish new safety and security standards for AI development.","USA","Technology;AI Sector","MSFT;GOOGL;NVDA;AIQ","doc_id_gpe_35_1",3,2
36,2018-04-13T20:00:00Z,"US, UK, France Launch Airstrikes in Syria","The US, UK, and France launch coordinated airstrikes against Syrian government targets in response to a suspected chemical weapons attack.","SYR;USA;GBR;FRA;MEA","Energy;Defense","CL=F;RTX","doc_id_gpe_36_1",3,3
37,2019-01-23T15:00:00Z,"Venezuela Political Crisis: Guaido Declares Himself President","Venezuelan opposition leader Juan Guaido declares himself interim president, challenging Nicolas Maduro's rule. US and other nations recognize Guaido.","VEN;USA;Global","Energy","CL=F;PBR","doc_id_gpe_37_1",3,4
38,2020-07-27T10:00:00Z,"EU Agrees on Landmark COVID-19 Recovery Fund","European Union leaders agree on a €750 billion recovery fund (NextGenerationEU) to help member states recover from the pandemic-induced economic crisis.","Europe","European Equities;FX","EURUSD=X;FEZ;VGK","doc_id_gpe_38_1",4,2
39,2021-11-26T15:00:00Z,"New COVID-19 Variant 'Omicron' Sparks Global Alarm","WHO designates Omicron a 'variant of concern', leading to new travel restrictions and market sell-offs due to fears of renewed economic disruption.","Global","All;Travel;Energy","SPY;UAL;AAL;CCL;CL=F","doc_id_gpe_39_1",4,5
40,2022-07-08T06:00:00Z,"Former Japanese PM Shinzo Abe Assassinated","Former Japanese Prime Minister Shinzo Abe is assassinated while campaigning for a parliamentary election. Shocks Japan and the world.","JPN","Japanese Equities;FX","EWJ;USDJPY=X","doc_id_gpe_40_1",3,3
41,2023-02-04T10:00:00Z,"US Shoots Down Suspected Chinese Spy Balloon","US military shoots down a suspected Chinese high-altitude surveillance balloon off the coast of South Carolina, increasing US-China tensions.","USA;CHN","Defense;Technology","LMT;NOC;AAPL","doc_id_gpe_41_1",2,3
42,2023-05-06T10:00:00Z,"Coronation of King Charles III","King Charles III is crowned at Westminster Abbey in London. Symbolic event for the UK and Commonwealth.","GBR","UK Culture","N/A","doc_id_gpe_42_1",1,1
43,2024-01-02T15:00:00Z,"Major Earthquake Hits Japan's West Coast","A powerful earthquake strikes the Noto Peninsula in Ishikawa Prefecture, Japan, causing significant damage and tsunamis.","JPN","Japanese Equities;Insurance","EWJ;Japanese Insurers","doc_id_gpe_43_1",3,2
44,2018-09-30T18:00:00Z,"USMCA Trade Deal Reached (Replaces NAFTA)","US, Mexico, and Canada reach a new trade agreement, the United States-Mexico-Canada Agreement (USMCA), to replace NAFTA.","USA;CAN;MEX","Industrials;Agriculture;Autos","CAT;DE;F;GM;EWC;EWW","doc_id_gpe_44_1",3,2
45,2019-06-12T10:00:00Z,"Hong Kong Protests Escalate Over Extradition Bill","Massive protests erupt in Hong Kong against a proposed extradition bill with mainland China, leading to widespread unrest and clashes with police.","HKG;CHN","Hong Kong Equities;Luxury Goods","EWH;HSBA.HK;Luxury Brands","doc_id_gpe_45_1",4,4
46,2020-08-04T15:00:00Z,"Massive Explosion in Beirut Port","A large explosion at the port of Beirut, Lebanon, causes widespread devastation, numerous casualties, and significant economic damage.","LBN;MEA","Global Shipping;Insurance","N/A","doc_id_gpe_46_1",3,3
47,2021-05-21T10:00:00Z,"Israel-Hamas Ceasefire Takes Effect","A ceasefire between Israel and Hamas comes into effect, ending 11 days of intense conflict in Gaza.","ISR;PSE;MEA","Regional Equities","EIS","doc_id_gpe_47_1",2,2
48,2022-03-16T10:00:00Z,"Federal Reserve Hikes Interest Rates for First Time Since 2018","The US Federal Reserve raises its benchmark interest rate by 0.25 percentage points, signaling the start of a tightening cycle to combat inflation.","USA","All;Financials;Growth Stocks","SPY;QQQ;XLF","doc_id_gpe_48_1",4,3
49,2023-04-04T18:00:00Z,"Finland Joins NATO","Finland officially becomes the 31st member of the NATO military alliance, a direct consequence of Russia's invasion of Ukraine.","FIN;Europe;RUS;NATO","Defense","European Defense Stocks","doc_id_gpe_49_1",3,2
50,2023-07-05T10:00:00Z,"Threads Launched by Meta as Twitter Competitor","Meta launches Threads, a text-based social media app positioned as a direct competitor to Twitter (now X). Gains tens of millions of users rapidly.","Global","Communication Services;Technology","META;X (Private)","doc_id_gpe_50_1",3,2
51,2024-03-10T00:00:00Z,"Portugal Snap Election","Portugal holds a snap general election following the resignation of the prime minister. Results indicate a shift to the right.","PRT;Europe","European Equities","EWP","doc_id_gpe_51_1",2,2
52,2022-11-08T00:00:00Z,"COP27 Climate Summit in Egypt","World leaders and negotiators gather in Sharm El Sheikh, Egypt, for the UN Climate Change Conference (COP27) to discuss climate action.","Global","Renewable Energy;Fossil Fuels;ESG","ICLN;XLE;ESG ETFs","doc_id_gpe_52_1",2,3
53,2021-10-31T00:00:00Z,"G20 Summit in Rome","Leaders of the G20 major economies meet in Rome to discuss global economic recovery, climate change, and international taxation.","Global","All","SPY;ACWI","doc_id_gpe_53_1",2,2
54,2019-08-11T00:00:00Z,"Argentina Primary Election Shock Results","Unexpectedly poor performance by then-President Macri in primary elections triggers market panic and sharp currency devaluation in Argentina.","ARG","Emerging Markets;Argentine Assets","ARGT;Argentine Bonds","doc_id_gpe_54_1",4,5
55,2020-01-31T23:00:00Z,"United Kingdom Officially Leaves the European Union (Brexit)","The UK formally withdraws from the EU, entering a transition period. Marks a significant shift in UK-Europe relations.","GBR;Europe","FX;UK Equities;European Equities","GBPUSD=X;^FTSE;FEZ","doc_id_gpe_55_1",4,3
