Annotation_ID,Doc_ID,Sentiment_Score,Uncertainty_Score,Litigiousness_Score,Named_Entities
38,38,0.92,0.18,0.03,"[\"LLY\", \"Shares Soar\", \"Weight-Loss Drug\"]"
39,39,0.70,0.28,0.35,"[\"JPM\", \"8-K\", \"Acquires\", \"First Republic Bank\"]"
40,40,0.00,0.45,0.09,"[\"ECB\", \"Interest Rates\", \"Potential Pause\"]"
41,41,0.60,0.10,0.02,"[\"AAPL\", \"Unveils\", \"iPhone 15\", \"USB-C\"]"
42,42,-0.30,0.20,0.06,"[\"WMT\", \"Earnings Call\", \"Cautions Consumer Spending\"]"
43,43,0.10,0.40,0.04,"[\"Analysts\", \"Market Gains\", \"2024\", \"Economic Uncertainty\"]"
44,44,0.70,0.15,0.03,"[\"MSFT\", \"AI\", \"Copilot Features\"]"
45,45,0.08,0.07,0.20,"[\"TSLA\", \"10-K\", \"Annual Report 2023\"]"
46,46,0.25,0.30,0.05,"[\"FOMC Minutes\", \"Rates Lower in 2024\"]"
47,47,-0.45,0.22,0.07,"[\"GOOG\", \"Alphabet\", \"Ad Revenue Slows\", \"Cloud Disappoints\"]"
48,48,0.78,0.10,0.02,"[\"AMZN\", \"Holiday Quarter Beat\", \"AWS Accelerates\"]"
49,49,0.93,0.12,0.04,"[\"NVDA\", \"Explosive Growth\", \"Record Quarter\"]"
50,50,-0.75,0.25,0.03,"[\"USA\", \"January CPI\", \"Hotter Than Expected\"]"
51,51,0.88,0.08,0.02,"[\"JPM\", \"Record Annual Profit\"]"
52,52,0.60,0.10,0.03,"[\"V\", \"Earnings Call\", \"Strong Travel Spending\"]"
53,53,0.68,0.09,0.02,"[\"JNJ\", \"Beats Estimates\", \"MedTech Sales\"]"
54,54,0.00,0.11,0.17,"[\"XOM\", \"10-Q\", \"Q3 2023\"]"
55,55,0.70,0.10,0.03,"[\"UNH\", \"Raises Forecast\", \"Strong Q3\"]"
56,56,0.40,0.15,0.04,"[\"PG\", \"Earnings Call\", \"Price Hikes\"]"
57,57,-0.50,0.20,0.05,"[\"HD\", \"Sales Decline\", \"DIY Demand Cools\"]"
58,58,0.10,0.18,0.12,"[\"MA\", \"8-K\", \"Management Update\"]"
59,59,0.65,0.09,0.02,"[\"BAC\", \"NII Boosts Profit\"]"
60,60,-0.70,0.30,0.08,"[\"PFE\", \"Cuts Forecast\", \"Lower COVID Sales\"]"
61,61,0.50,0.12,0.03,"[\"KO\", \"Raises Revenue Outlook\"]"
62,62,0.05,0.10,0.16,"[\"PEP\", \"10-Q\", \"Q3 2023\"]"
63,63,0.72,0.08,0.02,"[\"MRK\", \"Beats Estimates\", \"Keytruda Sales\"]"
64,64,0.80,0.25,0.04,"[\"LLY\", \"Mounjaro Approval Expected\"]"
65,65,0.75,0.20,0.25,"[\"AVGO\", \"Completes VMware Acquisition\", \"Strong Forecast\"]"
66,66,0.55,0.10,0.03,"[\"COST\", \"Earnings Call\", \"Membership Growth\"]"
67,67,0.60,0.30,0.33,"[\"CVX\", \"8-K\", \"Acquisition\", \"Hess Corporation\"]"
68,68,0.68,0.11,0.02,"[\"ADBE\", \"Beats Q4 Estimates\", \"Solid Outlook\"]"
69,69,0.82,0.09,0.03,"[\"CRM\", \"Stock Jumps\", \"Strong Earnings\", \"Upbeat Guidance\"]"
70,70,0.70,0.07,0.02,"[\"MCD\", \"Sales Beat Estimates\"]"
71,71,0.25,0.22,0.05,"[\"NEE\", \"Reaffirms Growth Outlook\"]"
72,72,0.45,0.13,0.04,"[\"LIN\", \"Earnings Call\", \"Strong Performance\"]"
73,73,0.50,0.18,0.08,"[\"DIS\", \"Beats Estimates\", \"Cost Cuts\"]"
74,74,0.70,0.25,0.28,"[\"WMT\", \"Beats Q4 Estimates\", \"Vizio Acquisition\"]"
75,75,0.35,0.15,0.02,"[\"USA\", \"CPI Inflation Cools\", \"June\"]"
